C44.792	C44.90
C44.792	C44.99
C44.799	C44.701
C44.799	C44.709
C44.799	C44.90
C44.799	C44.99
C44.80	C44.90
C44.81	C44.91
C44.82	C44.92
C44.89	C44.90
C44.89	C44.99
C44.89	C44.9
C44.89	C80.1
C44.90	C44.9
C44.90	C80.1
C44.99	C44.9
C44.99	C80.1
C44.9	C80.1
C45.0	C45.9
C46.0	C46.9
C46.1	C46.9
C46.1	M79.9
C46.4	C46.7
C46.4	C46.9
C46.50	C46.9
C46.7	C46.9
C47.0	C76.0
C47.0	C80.1
C48.0	C80.1
C48.1	C80.1
C48.1	K66.9
C48.1	C48.2
C48.8	C48.2
C48.2	C80.1
C48.2	K66.9
C48.8	C48.0
C48.8	C80.1
C48.8	K66.9
C49.10	C49.9
C49.11	C49.9
C49.11	C76.40
C49.11	C76.41
C49.11	C80.1
C49.11	M79.9
C49.20	C49.9
C49.20	C76.50
C49.20	C76.5
C49.20	C80.1
C49.20	M79.9
C49.21	C49.20
C49.21	C49.9
C49.21	C76.50
C49.21	C76.51
C49.21	C76.5
C49.21	C80.1
C49.21	M79.9
C49.3	C49.9
C49.3	C76.1
C49.3	C80.1
C49.3	M79.9
C49.4	C49.9
C49.4	C76.2
C49.4	C80.1
C49.4	M79.9
C49.5	C49.9
C49.5	C76.3
C49.5	C80.1
C49.5	M79.9
C49.6	C49.9
C49.6	C80.1
C49.6	M79.9
C49.9	C80.1
C49.9	M79.9
C49.A0	C49.A
C49.A1	C49.A0
C49.A1	C49.A
C49.A1	K22.9
C49.A2	C49.A0
C49.A2	C49.A
C49.A3	C49.A0
C49.A3	C49.A
C49.A3	K63.9
C49.A9	C49.A0
C49.A9	C49.A
C4A.10	C4A.9
C4A.111	C4A.10
C4A.112	C4A.10
C4A.121	C4A.10
C4A.122	C4A.10
C4A.20	C4A.9
C4A.30	C4A.9
C4A.59	C4A.9
C4A.60	C4A.9
C4A.70	C4A.9
C50.011	C50.019
C50.011	C50.01
C50.011	C50.91
C50.011	C80.1
C50.011	N64.9
C50.012	C50.019
C50.012	C50.01
C50.012	C50.91
C50.012	C80.1
C50.012	N64.9
C50.019	C50.01
C50.019	C50.91
C50.019	C80.1
